School Name,School Name,Building Address,Postcode,Borough,Latitude,Longitude
P.S. 20 - MANHATTAN,P.S. 20 - MANHATTAN,166 ESSEX STREET,11204.0,Manhattan,40.72154,-73.986648
P.S. 161 - BROOKLYN,P.S. 161 - BROOKLYN,330 CROWN STREET,11204.0,Brooklyn,40.666181,-73.949013
P.S. 166 - QUEENS,P.S. 166 - QUEENS,33-09 35 AVENUE,11204.0,Queens,40.757309,-73.926733
P.S. 165 - MANHATTAN,P.S. 165 - MANHATTAN,234 WEST 109 STREET,11204.0,Manhattan,40.802917,-73.965613
P.S. 171 - MANHATTAN,P.S. 171 - MANHATTAN,19 EAST 103 STREET,11204.0,Manhattan,40.792122,-73.951961
FRANK SINATRA SCL OF THE ARTS,FRANK SINATRA SCL OF THE ARTS,35-12 35 AVENUE,11106.0,Queens,40.756534,-73.925121
P.S. 94 - QUEENS,P.S. 94 - QUEENS,41-77 LITTLE NECK PARKWAY,11363.0,Queens,40.771186,-73.739252
P.S. 191 - QUEENS,P.S. 191 - QUEENS,85-15 258 STREET,11236.0,Queens,40.734318,-73.709137
THE RICHMOND PRE-K CENTER @ 1800 RICHMOND TERRACE - STATEN ISLAND,THE RICHMOND PRE-K CENTER @ 1800 RICHMOND TERRACE - STATEN ISLAND,1800 RICHMOND TERRACE,10310.0,StatenIsland,40.637276,-74.125315
I.S. 93 - QUEENS,I.S. 93 - QUEENS,66-56 FOREST AVENUE,11204.0,Queens,40.706041,-73.902584
CONCOURSE VILLAGE ELEMENTARY S,CONCOURSE VILLAGE ELEMENTARY S,750 CONCOURSE VILLAGE WEST,10458.0,Bronx,40.823174,-73.923326
P.S. 161 - BRONX,P.S. 161 - BRONX,628 TINTON AVENUE,11204.0,Bronx,40.814916,-73.905518
3K CENTER @ 1107 EAST GUN HILL ROAD - BRONX,3K CENTER @ 1107 EAST GUN HILL ROAD - BRONX,1107 EAST GUN HILL ROAD,10469.0,Bronx,40.873795,-73.855148
X000 - BRONX,X000 - BRONX,2347 MORRIS AVENUE,11204.0,Bronx,40.859448,-73.901113
X188 SPED - BRONX,X188 SPED - BRONX,890 CAULDWELL AVENUE,10314.0,Bronx,40.822474,-73.907194
"MATH, SCI., RESEARCH & TECH. H","MATH, SCI., RESEARCH & TECH. H",207-01 116 AVENUE,11411.0,Queens,40.697819,-73.745728
P.S. 132 - BROOKLYN,P.S. 132 - BROOKLYN,320 MANHATTAN AVENUE,10467.0,Brooklyn,40.71466,-73.946108
P.S. 44 - BROOKLYN,P.S. 44 - BROOKLYN,432 MONROE STREET,11236.0,Brooklyn,40.686592,-73.940747
I.S. 131 - MANHATTAN,I.S. 131 - MANHATTAN,100 HESTER STREET,11204.0,Manhattan,40.716553,-73.993092
P.S. 14 - BRONX,P.S. 14 - BRONX,3047 BRUCKNER BOULEVARD,11204.0,Bronx,40.83587,-73.825774
P.S. 332 - QUEENS,P.S. 332 - QUEENS,210-07 48TH AVENUE,11364.0,Queens,40.754954,-73.770314
NEW UTRECHT HS - BROOKLYN,NEW UTRECHT HS - BROOKLYN,1601 80 STREET,11204.0,Brooklyn,40.613262,-74.003404
P.S. 4 - STATEN ISLAND,P.S. 4 - STATEN ISLAND,200 NEDRA LANE,11204.0,StatenIsland,40.552975,-74.194597
P.S. 139 - QUEENS,P.S. 139 - QUEENS,93-06 63 DRIVE,11236.0,Queens,40.72814,-73.863582
P.S. 84 - MANHATTAN,P.S. 84 - MANHATTAN,32 WEST 92 STREET,11204.0,Manhattan,40.789526,-73.967574
