Project ID,Project Name,Street,Borough,BBL,BIN,Latitude,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
50938,1347 BRISTOW ST,BRISTOW STREET,Bronx,2029720034.0,2010431.0,40.831908,Preservation,No,Non Prevailing Wage,0,23,0,0,0,0,0,11,7,5,0,0,0,13,10,23,23
50942,Creston-Burnside,CRESTON AVENUE,Bronx,2028087501.0,2128390.0,40.852057,New Construction,No,Non Prevailing Wage,11,34,55,13,0,1,7,48,47,12,0,0,0,114,0,114,114
51100,WEBSTER GREEN,WEBSTER AVENUE,Bronx,2033300068.0,2129274.0,40.870972,New Construction,No,Non Prevailing Wage,41,0,40,0,0,0,36,15,30,0,0,0,0,81,0,81,82
51103,601 WEST 59TH STREET (1 WEST END AVENUE),WEST END AVENUE,Manhattan,1011717511.0,1088869.0,40.771821,New Construction,No,Non Prevailing Wage,0,0,116,0,0,0,27,28,61,0,0,0,0,116,0,116,116
51104,456 Washington Street,WASHINGTON STREET,Manhattan,1005957509.0,1080177.0,40.724414,New Construction,No,Non Prevailing Wage,0,0,22,0,0,0,5,6,11,0,0,0,0,22,0,22,107
51123,BAM Cultural District North Site Tower II,LAFAYETTE AVENUE,Brooklyn,3021077502.0,3397135.0,40.68679,New Construction,No,Non Prevailing Wage,0,0,25,0,24,1,19,7,24,0,0,0,0,50,0,50,123
51143,Edward Dozier HDFC,AMSTERDAM AVENUE,Manhattan,1019870033.0,1059740.0,40.817942,Preservation,No,Non Prevailing Wage,1,32,25,0,0,0,0,10,46,2,0,0,0,58,0,58,58
51150,Park Avenue Thorpe,EAST 184 STREET,Bronx,2030310007.0,2011182.0,40.856646,Preservation,No,Non Prevailing Wage,0,0,20,0,0,0,0,5,15,0,0,0,0,20,0,20,20
51177,Edgecombe Preservation Reyndication (Phase),AMSTERDAM AVENUE,Manhattan,1020760030.0,1061912.0,40.82472,Preservation,No,Non Prevailing Wage,0,0,250,0,0,4,4,107,93,50,0,0,0,254,0,254,254
51248,270 Convent Ave HDFC,CONVENT AVENUE,Manhattan,1020570046.0,1061204.0,40.821896,Preservation,No,Non Prevailing Wage,0,3,55,2,0,0,0,0,60,0,0,0,0,60,0,60,60
51249,2120 Mapes Avenue HDFC,MAPES AVENUE,Bronx,2031110004.0,2012994.0,40.847123,Preservation,No,Non Prevailing Wage,0,28,0,0,0,1,0,9,14,6,0,0,0,0,29,29,29
51252,Mount Sharon HDFC,BAILEY AVENUE,Bronx,2032610015.0,2015921.0,40.877375,Preservation,No,Non Prevailing Wage,0,6,97,0,0,3,0,39,37,30,0,0,0,106,0,106,106
51278,ARCHER AVENUE,165 STREET,Queens,4101557501.0,4615173.0,40.703984,New Construction,No,Non Prevailing Wage,0,18,70,0,0,1,24,13,46,6,0,0,0,89,0,89,89
51297,774 Grand Street,HUMBOLDT STREET,Brooklyn,3027907504.0,3424459.0,40.711431,New Construction,No,Non Prevailing Wage,0,0,13,0,0,0,3,3,7,0,0,0,0,13,0,13,64
51299,GATEWAY ELTON III,LOCKE STREET,Brooklyn,3044477502.0,3413941.0,40.656348,New Construction,No,Non Prevailing Wage,0,86,199,0,0,2,38,97,81,69,2,0,0,287,0,287,287
51301,BRKG GND. 626 BERGEN AVE. LA CENTRAL,BERGEN AVENUE,Bronx,2023610025.0,2127130.0,40.817371,New Construction,No,Prevailing Wage,97,0,63,0,0,1,160,1,0,0,0,0,0,161,0,161,161
51302,LA CENTRAL/BRONXCHESTER - BUILDINGS A & B,BERGEN AVENUE,Bronx,2023617501.0,2127129.0,40.816749,New Construction,No,Non Prevailing Wage,99,102,172,121,0,2,25,199,190,62,20,0,0,496,0,496,496
51357,PS 186 AKA BGCH (BOYS AND GIRLS CLUB OF HARLEM),WEST 145 STREET,Manhattan,1020777501.0,1061933.0,40.825612,New Construction,No,Non Prevailing Wage,0,15,48,0,15,1,19,48,12,0,0,0,0,79,0,79,79
51363,Manhattan West (371 Ninth Avenue),9 AVENUE,Manhattan,1007297505.0,1000000.0,40.751554,New Construction,No,Non Prevailing Wage,0,0,169,0,0,0,53,89,25,2,0,0,0,169,0,169,844
