,Oversight Agency,Full Location Address,Borough,Postcode,Wheelchair Accessible,Assistive Technology,Affordability Connectivity Program,Productivity Tools,Job Readiness,Education,Creative Expression,Media and Entertainment,Certifications,Digital Literacy,Latitude,Longitude
175,NYPL,"2550 Victory Boulevard, Staten Island, NY",StatenIsland,10314,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,40.6095775,-74.14850245
458,DYCD,"43560 Astoria Boulevard, Queens, NY",Queens,11102,Yes,Yes,Not sure,No,No,Yes,No,No,No,Yes,40.773352,-73.933745
53,DFTA,"3601 Surf Avenue, Brooklyn, NY",Brooklyn,11224,Yes,Yes,Not sure,No,No,No,No,No,No,No,40.57453136,-73.97202104
201,NYPL,"150 West 100th Street, New York, NY",Manhattan,10025,Yes,Yes,Yes,No,No,No,No,No,No,Yes,40.79591999,-73.96784852
515,QPL,"151-10 14th Road, Whitestone, NY",Queens,11357,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.78854,-73.8107
77,DFTA,"280 Ralph Avenue, Brooklyn, NY",Brooklyn,11233,Yes,No,Yes,No,No,No,No,No,No,No,40.680121,-73.923283
288,NYPL,"3874 Sedgwick Avenue, Bronx, NY",Bronx,10463,Yes,Yes,Yes,No,No,No,No,No,No,Yes,40.88275976,-73.89392241
120,DFTA,"230 Riverdale Avenue, Brooklyn, NY",Brooklyn,11212,Yes,No,Not sure,Yes,No,No,No,No,No,Yes,40.661083,-73.908024
176,DFTA,"125 Cassidy Place, Staten Island, NY",StatenIsland,10301,Yes,Yes,No,No,No,No,No,No,No,Yes,40.641888,-74.096489
357,DFTA,"189 Allen Street, Manhattan, NY",Manhattan,10002,Partially,No,Yes,No,No,Yes,No,Yes,No,Yes,40.722101,-73.989479
15,DYCD,"114 Taylor Street, Brooklyn, NY",Brooklyn,11249,Yes,No,Not sure,No,Yes,Yes,No,No,No,No,40.70539743,-73.96388536
258,NYPL,"224 East 25th Street, New York, NY",Manhattan,10035,Partially,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.80301816,-73.93484756
437,DFTA,"35-24 83rd Street, Queens, NY",Queens,11372,Yes,No,Not sure,No,No,No,Yes,No,No,No,40.751342,-73.883908
374,NYPL,"9 Murray Street, New York, NY",Manhattan,10007,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.71360652,-74.00786167
524,QPL,"60-05 Main Street, Flushing, NY",Queens,11355,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.74293095,-73.82516996
